move_id,from_item_estoque_id,to_item_estoque_id,legacy_stock_item_id,variant_product_id,variant_size,tipo,quantidade,created_at
6a0e4795002269ed3242,6a0e4795000f6dedcde7,6a31e2480020cccdc83f,6a0e4795000f6dedcde7,6a31e248000f9b4ad87b,A3,entrada,3,2026-05-20T23:45:25.607+00:00
6a0e47950025a493901a,6a0e47950011c984469b,6a31e24700057a23265b,6a0e47950011c984469b,6a31e244001e4da58e77,P,entrada,7,2026-05-20T23:45:25.654+00:00
6a0e479500219ae6240f,6a0e4795000f5cb95f49,6a31e24600200f298545,6a0e4795000f5cb95f49,6a31e244001e4da58e77,G,entrada,3,2026-05-20T23:45:25.710+00:00
6a0e4795002a34f66618,6a0e47950010ef0403c6,6a31e24b00106ba8a720,6a0e47950010ef0403c6,6a31e24a003d073bc9dc,A1,entrada,1,2026-05-20T23:45:25.724+00:00
6a0e4795002bd1ae4da3,6a0e47950019acfa34b0,6a31e24d0026a3ea9444,6a0e47950019acfa34b0,6a31e24d0013668c1756,A6,entrada,1,2026-05-20T23:45:25.772+00:00
6a0e4795002c31784d05,6a0e47950019931fcaff,6a31e24c001af7c9e048,6a0e47950019931fcaff,6a31e24a003d073bc9dc,A2,entrada,1,2026-05-20T23:45:25.777+00:00
6a0e47960011f9638651,6a0e4795003a4d58ebe7,6a31e24a0019438fbef1,6a0e4795003a4d58ebe7,6a31e248000f9b4ad87b,A2,entrada,3,2026-05-20T23:45:26.336+00:00
6a0e4797003091c0c23a,6a0e4797001e9fe3d09b,6a31e24e003350cebf3f,6a0e4797001e9fe3d09b,6a31e24d0013668c1756,A0,entrada,4,2026-05-20T23:45:27.828+00:00
6a0e479700326caf9bba,6a0e4797001e55a90d43,6a31e24e000e2b0a542c,6a0e4797001e55a90d43,6a31e24d0013668c1756,A1,entrada,4,2026-05-20T23:45:27.854+00:00
6a0e479700384a228ef3,6a0e4797001e9d0ca3f7,6a31e2520026af46ac18,6a0e4797001e9d0ca3f7,6a31e2510007f0d420f2,A3,entrada,1,2026-05-20T23:45:27.950+00:00
6a0e47970036dbe20049,6a0e47970024d4c27898,6a31e24f003d632a9955,6a0e47970024d4c27898,6a31e24d0013668c1756,A3,entrada,7,2026-05-20T23:45:28.047+00:00
6a0e479800048d8b84a5,6a0e4797003043b04d92,6a31e250002295939f67,6a0e4797003043b04d92,6a31e24d0013668c1756,A5,entrada,1,2026-05-20T23:45:28.120+00:00
6a0e479900279bcf8dc6,6a0e4799000e3f01a00e,6a31e254000476c724a8,6a0e4799000e3f01a00e,6a31e2530031540ff276,A2,entrada,2,2026-05-20T23:45:29.682+00:00
6a0e479900285f6b136e,6a0e4799001647a00bdd,6a31e253000c2ca8494c,6a0e4799001647a00bdd,6a31e2510007f0d420f2,A1,entrada,1,2026-05-20T23:45:29.701+00:00
6a0e4799002b702f11b2,6a0e47990017d0d3f37c,6a31e25500323e7411c7,6a0e47990017d0d3f37c,6a31e2530031540ff276,A4,entrada,2,2026-05-20T23:45:29.762+00:00
6a0e4799002a4d2b7bfa,6a0e4799000fed0ea4fd,6a31e255000ddebfcf48,6a0e4799000fed0ea4fd,6a31e2530031540ff276,A5,entrada,2,2026-05-20T23:45:29.849+00:00
6a0e479900350008f209,6a0e479900228c760c3b,6a31e25600172cdc2b22,6a0e479900228c760c3b,6a31e2530031540ff276,M3,entrada,5,2026-05-20T23:45:29.900+00:00
6a0e4799003d572dbe9a,6a0e479900237f36c90f,6a31e257003033d0bac9,6a0e479900237f36c90f,6a31e2530031540ff276,A3,entrada,4,2026-05-20T23:45:30.030+00:00
6a0e4799003d1c0d5c58,6a0e47990022ec5267a1,6a31e256003a0b21d4a6,6a0e47990022ec5267a1,6a31e2530031540ff276,A1,entrada,2,2026-05-20T23:45:30.032+00:00
6a0e479b002ddf294104,6a0e479b001c0eed8bc4,6a31e25800271b3bc13f,6a0e479b001c0eed8bc4,6a31e25800154d8d5579,EGG,entrada,1,2026-05-20T23:45:31.782+00:00
6a0e479b002e4a7332e9,6a0e479b001c168d555b,6a31e259000c2914e0ed,6a0e479b001c168d555b,6a31e25800154d8d5579,EG,entrada,1,2026-05-20T23:45:31.787+00:00
6a0e479b0030cf98fe5d,6a0e479b001d3c34205d,6a31e25a001edbc26eb4,6a0e479b001d3c34205d,6a31e25800154d8d5579,M,entrada,1,2026-05-20T23:45:31.828+00:00
6a0e479b00327def9f29,6a0e479b00201d4d4b60,6a31e25d0031f01d0ed7,6a0e479b00201d4d4b60,6a31e25d001fd10fcbdd,UN,entrada,1,2026-05-20T23:45:31.858+00:00
6a0e479b00371a0bfaa4,6a0e479b00250e5fbdb9,6a31e25b000385837d6a,6a0e479b00250e5fbdb9,6a31e25800154d8d5579,P,entrada,1,2026-05-20T23:45:31.931+00:00
6a0e479b0037aff13161,6a0e479b002506db739a,6a31e25b0026f0223f68,6a0e479b002506db739a,6a31e25800154d8d5579,G,entrada,1,2026-05-20T23:45:31.947+00:00
6a0e479c00063d97b4b2,6a0e479b003282ce9a48,6a31e25c0021df9e4ac3,6a0e479b003282ce9a48,6a31e25800154d8d5579,GG,entrada,1,2026-05-20T23:45:32.274+00:00
6a0e479d0031b387f9f2,6a0e479d001f62179bb7,6a31e261001e2b75c56c,6a0e479d001f62179bb7,6a31e2610009d0bd5dee,P,entrada,1,2026-05-20T23:45:33.854+00:00
6a0e479d00339823f9d3,6a0e479d001fa74465d2,6a31e260000e3877ffc5,6a0e479d001fa74465d2,6a31e25f003a66593fc8,44,entrada,3,2026-05-20T23:45:33.876+00:00
6a0e479d0039256eae60,6a0e479d00270ff5e967,6a31e2620017fcd62bc3,6a0e479d00270ff5e967,6a31e2620005c9aa01bf,UN,entrada,1,2026-05-20T23:45:33.962+00:00
6a14e554000c544a3019,6a0e47950011c984469b,6a31e24700057a23265b,6a0e47950011c984469b,6a31e244001e4da58e77,P,ajuste,1,2026-05-26T00:12:04.251+00:00
